Quarter,Company,N (days),Mean,SD,Median,Mode,Min,Max,Range,Q1,Q2 (Median),Q3,IQR,Coeff. of Variation (SD/Mean),Slope (â‚¹/day)
2023_Q1,HCL,78,1092.7166591546475,31.622620850847426,1094.4249877929688,1063.8499755859375,1032.800048828125,1149.5999755859375,116.7999267578125,1067.4624633789062,1094.4249877929688,1116.1500244140625,48.68756103515625,0.028939451582363048,-0.30088586316224003
2023_Q1,Infosys,78,1461.7942379682493,109.30027025474642,1480.5,1223.4000244140625,1223.4000244140625,1617.0,393.5999755859375,1404.6124877929688,1480.5,1547.3500061035156,142.73751831054688,0.07477131008989547,-2.486407440214385
2023_Q1,TCS,78,3310.9807723607773,130.45056879096703,3325.074951171875,3089.60009765625,3089.60009765625,3558.050048828125,468.449951171875,3198.33740234375,3325.074951171875,3410.3750610351562,212.03765869140625,0.039399373708218145,-2.523617713912935
2023_Q1,Wipro,78,193.41794801369693,7.989970216499404,195.20000457763672,183.1999969482422,178.10000610351562,204.9499969482422,26.849990844726562,186.1624984741211,195.20000457763672,200.65624618530276,14.493747711181669,0.0413093526146477,-0.17714905219366459
2023_Q2,HCL,86,1135.6319778797238,34.178100458482795,1138.4000244140625,1135.8499755859375,1055.550048828125,1194.800048828125,139.25,1113.4000244140625,1138.4000244140625,1167.4249877929688,54.02496337890625,0.030096106066240625,0.6165465619762696
2023_Q2,Infosys,86,1334.6244151980377,59.30007246353639,1329.6749877929688,1245.199951171875,1245.199951171875,1475.199951171875,230.0,1287.3375244140625,1329.6749877929688,1386.1875305175781,98.85000610351562,0.044432030306247,1.4142555376273094
2023_Q2,TCS,86,3324.940108898074,90.74020045634724,3307.22509765625,3174.89990234375,3174.89990234375,3514.64990234375,339.75,3250.7125854492188,3307.22509765625,3396.3624267578125,145.64984130859375,0.027290777422881055,1.848471234366135
2023_Q2,Wipro,86,199.28953516760538,6.015281239520535,199.79999542236328,191.1499938964844,189.6999969482422,209.3249969482422,19.625,193.65000534057614,199.79999542236328,203.9187469482422,10.268741607666044,0.030183628229458193,0.12102703451820242
2023_Q3,HCL,80,1305.146875,74.32391873462822,1275.625,1309.1500244140625,1185.800048828125,1504.300048828125,318.5,1258.8624572753906,1275.625,1329.5875244140625,70.72506713867188,0.05694678519199475,1.6858663737135504
2023_Q3,Infosys,80,1459.323127746582,53.54003717965819,1460.125,1354.1500244140625,1354.1500244140625,1578.4000244140625,224.25,1434.1125183105469,1460.125,1491.3125305175781,57.20001220703125,0.03668826743144419,0.33485427208308133
2023_Q3,TCS,80,3540.125622558594,137.8738917496351,3526.3250732421875,3330.64990234375,3330.64990234375,3861.0,530.35009765625,3438.89990234375,3526.3250732421875,3606.0750122070312,167.17510986328125,0.038946044985259026,1.6725327820658442
2023_Q3,Wipro,80,206.72031288146974,11.780990064944922,205.3125,203.7250061035156,189.125,235.6499938964844,46.5249938964844,198.31875228881836,205.3125,215.2687530517578,16.950000762939453,0.056989997261178496,0.04270384771380155
2024_Q1,HCL,80,1566.855632019043,78.04067807622205,1567.75,1366.5999755859375,1366.5999755859375,1686.4000244140625,319.800048828125,1517.3875122070312,1567.75,1637.7250061035156,120.33749389648438,0.04980719121879735,-0.2839917778860005
2024_Q1,Infosys,80,1580.1574935913086,93.68118722813998,1612.0750122070312,1411.25,1411.25,1729.449951171875,318.199951171875,1493.8124694824219,1612.0750122070312,1661.5750122070312,167.76254272460938,0.059285981054474336,-1.5796628763326888
2024_Q1,TCS,80,3952.290017700195,140.16203092869685,3946.925048828125,3666.800048828125,3666.800048828125,4219.25,552.449951171875,3853.6624145507812,3946.925048828125,4088.91259765625,235.25018310546875,0.035463498453045195,0.8323473294597405
2024_Q1,Wipro,80,243.98781356811523,12.799700295997523,241.5875015258789,242.5249938964844,222.1750030517578,271.5,49.32499694824219,234.86249923706055,241.5875015258789,255.99375534057617,21.131256103515625,0.05246040820159311,-0.011720286913487223
2024_Q2,HCL,40,1376.8649993896483,53.21257086499543,1353.425048828125,1303.550048828125,1303.550048828125,1459.5999755859375,156.0499267578125,1332.6375122070312,1353.425048828125,1437.5874633789062,104.949951171875,0.03864763131358853,2.5590375426906204
2024_Q2,Infosys,40,1467.7962432861327,47.76882052348622,1459.9500122070312,1393.6500244140625,1393.6500244140625,1573.3499755859375,179.699951171875,1426.9500427246094,1459.9500122070312,1498.5874633789062,71.63742065429688,0.032544585627593915,2.2481060875617005
2024_Q2,TCS,40,3847.512481689453,70.33753187148457,3845.2249755859375,3670.949951171875,3670.949951171875,3978.949951171875,308.0,3816.3750610351562,3845.2249755859375,3893.9124145507812,77.537353515625,0.018281300504215434,-1.4316986139596237
2024_Q2,Wipro,40,234.13499908447267,9.796643524517847,231.125,230.5,218.4750061035156,257.42498779296875,38.94998168945315,228.00624465942386,231.125,241.54375076293945,13.537506103515597,0.041841858597925184,0.40671484891835424
